title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
Ross Chastain,469387500,469387500,,,H,25000,1,0,0,0,0,0,0,0
Austin Cindric,468887500,468887500,,,H,25000,1,0,0,0,0,0,0,0
Austin Dillon,467375000,467375000,,,H,25000,1,0,0,0,0,0,0,0
Noah Gragson,463962500,463962500,,,H,25000,1,0,0,0,0,0,0,0
Kyle Larson,458762500,458762500,,,H,25000,1,0,0,0,0,0,0,0
Brad Keselowski,461350000,461350000,,,H,25000,1,0,0,0,0,0,0,0
Daniel Suarez,468675000,468675000,,,H,25000,1,0,0,0,0,0,0,0
Kyle Busch,457675000,457675000,,,H,25000,1,0,0,0,0,0,0,0
Chase Elliott,464425000,464425000,,,H,25000,1,0,0,0,0,0,0,0
Ty Dillon,462962500,462962500,,,H,25000,1,0,0,0,0,0,0,0
Denny Hamlin,462425000,462425000,,,H,25000,1,0,0,0,0,0,0,0
Ryan Blaney,464925000,464925000,,,H,25000,1,0,0,0,0,0,0,0
AJ Allmendinger,462750000,462750000,,,H,25000,1,0,0,0,0,0,0,0
Chris Buescher,462200000,462200000,,,H,25000,1,0,0,0,0,0,0,0
Chase Briscoe,462275000,462275000,,,H,25000,1,0,0,0,0,0,0,0
Christopher Bell,462475000,462475000,,,H,25000,1,0,0,0,0,0,0,0
Josh Berry,463037500,463037500,,,H,25000,1,0,0,0,0,0,0,0
Joey Logano,469150000,469150000,,,H,25000,1,0,0,0,0,0,0,0
Bubba Wallace,451125000,451125000,,,H,25000,1,0,0,0,0,0,0,0
William Byron,456887500,456887500,,,H,25000,1,0,0,0,0,0,0,0
Todd Gilliland,463300000,463300000,,,H,25000,1,0,0,0,0,0,0,0
Riley Herbst,461150000,461150000,,,H,25000,1,0,0,0,0,0,0,0
Chandler Smith,467925000,467925000,,,H,25000,1,0,0,0,0,0,0,0
Zane Smith,461837500,461837500,,,H,25000,1,0,0,0,0,0,0,0
Justin Allgaier,464112500,464112500,,,H,25000,1,0,0,0,0,0,0,0
Cole Custer,466500000,466500000,,,H,25000,1,0,0,0,0,0,0,0
John Hunter Nemecheck,462812500,462812500,,,H,25000,1,0,0,0,0,0,0,0
Erik Jones,464312500,464312500,,,H,25000,1,0,0,0,0,0,0,0
JJ Yeley,456637500,456637500,,,H,25000,1,0,0,0,0,0,0,0
