title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
Garrett Smithley,463787500,463787500,,,H,25000,1,0,0,0,0,0,0,0
Sheldon Creed,452837500,452837500,,,H,25000,1,0,0,0,0,0,0,0
Ryan Ellis,452187500,452187500,,,H,25000,1,0,0,0,0,0,0,0
Josh Bilicki,467712500,467712500,,,H,25000,1,0,0,0,0,0,0,0
Carson Kvapil,453187500,453187500,,,H,25000,1,0,0,0,0,0,0,0
Jesse Love,464462500,464462500,,,H,25000,1,0,0,0,0,0,0,0
Caesar Bacarella,451062500,451062500,,,H,25000,1,0,0,0,0,0,0,0
Luke Fenhaus,467075000,467075000,,,H,25000,1,0,0,0,0,0,0,0
Justin Allgaier,459162500,459162500,,,H,25000,1,0,0,0,0,0,0,0
Sammy Smith,468312500,468312500,,,H,25000,1,0,0,0,0,0,0,0
Corey Day,458837500,458837500,,,H,25000,1,0,0,0,0,0,0,0
William Sawalich,451850000,451850000,,,H,25000,1,0,0,0,0,0,0,0
Giovanni Ruggiero,451300000,451300000,,,H,25000,1,0,0,0,0,0,0,0
Brandon Jones,464087500,464087500,,,H,25000,1,0,0,0,0,0,0,0
Austin Hill,457462500,457462500,,,H,25000,1,0,0,0,0,0,0,0
Harrison Burton,465462500,465462500,,,H,25000,1,0,0,0,0,0,0,0
Nick Sanchez,467312500,467312500,,,H,25000,1,0,0,0,0,0,0,0
Dean Thompson,458737500,458737500,,,H,25000,1,0,0,0,0,0,0,0
Jeb Burton,462437500,462437500,,,H,25000,1,0,0,0,0,0,0,0
Kyle Sieg,469662500,469662500,,,H,25000,1,0,0,0,0,0,0,0
Carson Ware,461925000,461925000,,,H,25000,1,0,0,0,0,0,0,0
Blaine Perkins,465775000,465775000,,,H,25000,1,0,0,0,0,0,0,0
Jordan Anderson,462975000,462975000,,,H,25000,1,0,0,0,0,0,0,0
Natalie Decker,463310000,463310000,,,H,25000,1,0,0,0,0,0,0,0
Patrick Emerling,459312500,459312500,,,H,25000,1,0,0,0,0,0,0,0
Ryan Sieg,457337500,457337500,,,H,25000,1,0,0,0,0,0,0,0
Sam Mayer,468062500,468062500,,,H,25000,1,0,0,0,0,0,0,0
Carson Hocevar,468525000,468525000,,,H,25000,1,0,0,0,0,0,0,0
Brennan Poole,458637500,458637500,,,H,25000,1,0,0,0,0,0,0,0
