title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
NASCAR 1 & 11,461200000,461200000,,,H,25000,1,0,0,0,0,0,0,0
NASCAR 2 & 12,464600000,464600000,,,H,25000,1,0,0,0,0,0,0,0
NASCAR 5 & 15,451225000,451225000,,,H,25000,1,0,0,0,0,0,0,0
NASCAR 10,451575000,451575000,,,H,25000,1,0,0,0,0,0,0,0
RACE CONTROL,461200000,461200000,,,H,25000,1,0,0,0,0,0,0,0
RACE CONTROL B/U,464600000,464600000,,,H,25000,1,0,0,0,0,0,0,0
SAFTY/FIRE,451225000,451225000,,,H,25000,1,0,0,0,0,0,0,0
NASCAR Weather,467850000,467850000,,,H,25000,1,0,0,0,0,0,0,0
MRN Radio,454000000,454000000,,,H,25000,1,0,0,0,0,0,0,0
PRN Radio,454000000,454000000,,,H,25000,1,0,0,0,0,0,0,0
TBA 1,450625000,450625000,,,H,25000,1,0,0,0,0,0,0,0
TBA 2,450175000,450175000,,,H,25000,1,0,0,0,0,0,0,0
TBA 3,450275000,450275000,,,H,25000,1,0,0,0,0,0,0,0
TBA 4,462025000,462025000,,,H,25000,1,0,0,0,0,0,0,0
TBA 5,450587500,450587500,,,H,25000,1,0,0,0,0,0,0,0
FOX,450237500,450237500,,,H,25000,1,0,0,0,0,0,0,0
