title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
TRICON,460625000,460625000,,,H,25000,1,0,0,0,0,0,0,0
Jason White,463362500,463362500,,,H,25000,1,0,0,0,0,0,0,0
Cleetus McFarland,468987500,468987500,,,H,25000,1,0,0,0,0,0,0,0
Nick Leitz,468512500,468512500,,,H,25000,1,0,0,0,0,0,0,0
Norm Benning,453237500,453237500,,,H,25000,1,0,0,0,0,0,0,0
Michael McDowell,462375000,462375000,,,H,25000,1,0,0,0,0,0,0,0
Grant Enfinger,451625000,451625000,,,H,25000,1,0,0,0,0,0,0,0
Daniel Dye,459575000,459575000,,,H,25000,1,0,0,0,0,0,0,0
Kaden Honeycutt,463737500,463737500,,,H,25000,1,0,0,0,0,0,0,0
Brenden Queen,466137500,466137500,,,H,25000,1,0,0,0,0,0,0,0
Cole Butcher,460512500,460512500,,,H,25000,1,0,0,0,0,0,0,0
Timothy Tyrrell,461725000,461725000,,,H,25000,1,0,0,0,0,0,0,0
Tanner Gray,458662500,458662500,,,H,25000,1,0,0,0,0,0,0,0
Justin Haley,468025000,468025000,,,H,25000,1,0,0,0,0,0,0,0
Gio Ruggiero,460775000,460775000,,,H,25000,1,0,0,0,0,0,0,0
Tyler Ankrum,456825000,456825000,,,H,25000,1,0,0,0,0,0,0,0
Daniel Hemric,452362500,452362500,,,H,25000,1,0,0,0,0,0,0,0
Josh Reaume,456662500,456662500,,,H,25000,1,0,0,0,0,0,0,0
Tony Stewart,462250000,462250000,,,H,25000,1,0,0,0,0,0,0,0
Dawson Sutton,464562500,464562500,,,H,25000,1,0,0,0,0,0,0,0
Toni Breidinger,459812500,459812500,,,H,25000,1,0,0,0,0,0,0,0
Bryan Dauzat,452112500,452112500,,,H,25000,1,0,0,0,0,0,0,0
Frankie Muniz,460475000,460475000,,,H,25000,1,0,0,0,0,0,0,0
Layne Riggs,467850000,467850000,,,H,25000,1,0,0,0,0,0,0,0
Greg Van Alst,453850000,453850000,,,H,25000,1,0,0,0,0,0,0,0
Chandler Smith,468662500,468662500,,,H,25000,1,0,0,0,0,0,0,0
Travis Pastrana,467237500,467237500,,,H,25000,1,0,0,0,0,0,0,0
Andres De Lara,462987500,462987500,,,H,25000,1,0,0,0,0,0,0,0
Ricky Stenhouse Jr,463725000,463725000,,,H,25000,1,0,0,0,0,0,0,0
