title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
Lavar Scott,463987500,463987500,,,H,25000,1,0,0,0,0,0,0,0
Patrick Staropoli,457962500,457962500,,,H,25000,1,0,0,0,0,0,0,0
Jeremy Clements,468725000,468725000,,,H,25000,1,0,0,0,0,0,0,0
Daniel Dye,464262500,464262500,,,H,25000,1,0,0,0,0,0,0,0
David Starr,463087500,463087500,,,H,25000,1,0,0,0,0,0,0,0
Taylor Gray,464650000,464650000,,,H,25000,1,0,0,0,0,0,0,0
Joey Gase,463700000,463700000,,,H,25000,1,0,0,0,0,0,0,0
Austin Green,453262500,453262500,,,H,25000,1,0,0,0,0,0,0,0
Rajah Caruth,451750000,451750000,,,H,25000,1,0,0,0,0,0,0,0
Mason Maggio,461375000,461375000,,,H,25000,1,0,0,0,0,0,0,0
Josh Williams,462837500,462837500,,,H,25000,1,0,0,0,0,0,0,0
Anthony Alfredo,456037500,456037500,,,H,25000,1,0,0,0,0,0,0,0
Parker Retzlaff,465537500,465537500,,,H,25000,1,0,0,0,0,0,0,0
