title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,,,,,,,,,,,,,,
Garrett Smithley,463637500,463637500,,,H,25000,1,0,0,0,0,0,0,0
Sheldon Creed,468287500,468287500,,,H,25000,1,0,0,0,0,0,0,0
Ryan Ellis,456150000,456150000,,,H,25000,1,0,0,0,0,0,0,0
Josh Bilicki,466312500,466312500,,,H,25000,1,0,0,0,0,0,0,0
Carson Kvapil,468912500,468912500,,,H,25000,1,0,0,0,0,0,0,0
Jesse Love,469237500,469237500,,,H,25000,1,0,0,0,0,0,0,0
Caesar Bacarella,467187500,467187500,,,H,25000,1,0,0,0,0,0,0,0
Luke Fenhaus,458025000,458025000,,,H,25000,1,0,0,0,0,0,0,0
Justin Allgaier,468862500,468862500,,,H,25000,1,0,0,0,0,0,0,0
Sammy Smith,462787500,462787500,,,H,25000,1,0,0,0,0,0,0,0
Corey Day,457987500,457987500,,,H,25000,1,0,0,0,0,0,0,0
William Sawalich,464787500,464787500,,,H,25000,1,0,0,0,0,0,0,0
Giovanni Ruggiero,466012500,466012500,,,H,25000,1,0,0,0,0,0,0,0
Brandon Jones,461862500,461862500,,,H,25000,1,0,0,0,0,0,0,0
Austin Hill,456862500,456862500,,,H,25000,1,0,0,0,0,0,0,0
Harrison Burton,453075000,453075000,,,H,25000,1,0,0,0,0,0,0,0
Nick Sanchez,468825000,468825000,,,H,25000,1,0,0,0,0,0,0,0
Dean Thompson,452025000,452025000,,,H,25000,1,0,0,0,0,0,0,0
Jeb Burton,459375000,459375000,,,H,25000,1,0,0,0,0,0,0,0
Kyle Sieg,452087500,452087500,,,H,25000,1,0,0,0,0,0,0,0
Carson Ware,461875000,461875000,,,H,25000,1,0,0,0,0,0,0,0
Blaine Perkins,467175000,467175000,,,H,25000,1,0,0,0,0,0,0,0
Jordan Anderson,460025000,460025000,,,H,25000,1,0,0,0,0,0,0,0
Natalie Decker,458425000,458425000,,,H,25000,1,0,0,0,0,0,0,0
Patrick Emerling,460387500,460387500,,,H,25000,1,0,0,0,0,0,0,0
Ryan Sieg,457012500,457012500,,,H,25000,1,0,0,0,0,0,0,0
Sam Mayer,451375000,451375000,,,H,25000,1,0,0,0,0,0,0,0
Carson Hocevar,469712500,469712500,,,H,25000,1,0,0,0,0,0,0,0
Brennan Poole,453375000,453375000,,,H,25000,1,0,0,0,0,0,0,0
