Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,R NASCAR 1 & 11 PR,461.2000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels NASCAR 1 & 11 Primary,,,,
2,R NASCAR 2 & 12 PR,464.6000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels NASCAR 2 & 12 Primary,,,,
3,R NASCAR 5 & 15 PR,451.2250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels NASCAR 5 & 15 Primary,,,,
4,R NASCAR 10 PR,451.5750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels NASCAR 10 Primary,,,,
5,R RACE CONTROL PR,461.2000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels RACE CONTROL Primary,,,,
6,R RACE CONTROL B/U PR,464.6000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels RACE CONTROL B/U Primary,,,,
7,R SAFTY/FIRE PR,451.2250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels SAFTY/FIRE Primary,,,,
8,R NASCAR Weather PR,467.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels NASCAR Weather Primary,,,,
9,R MRN Radio PR,454.0000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels MRN Radio Primary,,,,
10,R PRN Radio PR,454.0000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels PRN Radio Primary,,,,
11,R TBA 1 PR,450.6250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels TBA 1 Primary,,,,
12,R TBA 2 PR,450.1750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels TBA 2 Primary,,,,
13,R TBA 3 PR,450.2750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels TBA 3 Primary,,,,
14,R TBA 4 PR,462.0250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels TBA 4 Primary,,,,
15,R TBA 5 PR,450.5875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels TBA 5 Primary,,,,
16,R FOX PR,450.2375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Race Channels FOX Primary,,,,
17,C Ross Chastain PR,463.2375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ross Chastain Primary,,,,
18,C Austin Cindric PR,464.1875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Austin Cindric Primary,,,,
19,C Austin Dillon PR,469.0125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Austin Dillon Primary,,,,
20,C Noah Gragson PR,468.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Noah Gragson Primary,,,,
