Car,Driver,Primary,Tone,Secondary,Tone,Other,Tone
01,Corey LaJoie,461.2500,532,466.4000,114,
1,Ross Chastain,463.2375,532,469.3875,186.2,
2,Austin Cindric,464.1875,226,468.8875,412,466.2125 / 452.6750,Search 	
3,Austin Dillon,469.0125,131,467.3750,261,
4,Noah Gragson,,,,,
5,Kyle Larson,465.8625,91.5,458.7625,114.8,
6,Brad Keselowski,466.2750,043,461.350,072,
7,Justin Haley,469.5875,97.4,468.6875,134,
8,Kyle Busch,457.6450,,468.6000,315,
9,Chase Elliot,461.9875,,464.4250,,
10,Ty Dillon,465.1125,411,462.9625,118.8,
11,Denny Hamlin,467.4750,632,462.4250,165,
12,Ryan Blaney,464.7000,712,464.9250,88.5,
13,Kaulig Racing,467.9875,223,465.9625,155,
16,AJ Allmendinger,468.025,71.9,462.7500,315,
17,Chris Buescher,460.9500,85.4,462.2000,723,
19,Chase Briscoe,469.8375,155,462.2750,465,
20,Christopher Bell,466.0125,506,462.475,632,
21,Josh Berry,465.8875,,225.7,463.0375,205,
22,Joey Logano,464.8250,032,451.8250,306,469.1500,072
23,Bubba Wallace,463.0875,466,460.3125,156.7,
24,William Byron,453.0500,82.5,456.8875,423,
33,Richard Childress Racing,,,,,
34,Todd Gilliland,467.1125,624,463.3000,065,
35,Riley Herbst,,,,,
36,Front Row Motorsports,467.8500,351,469.1000,143,
40,Justin Allgaier,,,,,
38,Zane Smith,463.3125,703,461.8375,546,
41,Cole Custer,469.1375,251,466.5000,047,
42,John Hunter Nemechek,460.1625,331,462.8125,546,
43,Erik Jones,463.3375,243,464.3125,465,
44,JJ Yeley,456.7750,132,456.6375,254.1,
45,Tyler Reddick,463.1500,241.8,467.5375,743,
47,Ricky Stenhouse Jr.,457.6500,134,458.6500,162,
48,Alex Bowman,464.2875,244,457.9125,110.9,
50,Team AmeriVet,460.9125,114,457.8125,245,
51,Justin Haley,466.2250,516,461.5625,,
54,Ty Gibbs,467.4500,734,462.5000,031,
56,Martin Truex Jr.,,,,,
60,Ryan Preece,468.950,94.8,463.4500,254.1,
62,Anthony Alfredo,451.3250,103.5,467.8875,051,
66,Chandler Smith,458.5375,654,467.6875,565,
67,23XI,467.8125,146.2,463.4875,662,
71,Michael McDowell,459.0375,365,453.6375,167.9,
77,Carson Hocevar,458.2125,233.6,465.1625,100.0,
78,BJ Mcleod,467.7500,131.8,468.9625,343,
84,Jimmie Johnson,460.2375,192.8,467.5000,503,
87,Connor Zilisch,,,,,
88,Shane van Gisbergen,,,,,
91,Helio Castroneves,465.4375,311,466.3000,103.5,
99,Daniel Suarez,465.3875,226,469.8125,206.5,
