Car,Driver,Primary,Tone,Secondary,Tone,Other,Tone
0,Garrett Smithley,463.6375,,463.7875,,,
0,Sheldon Creed,468.2875,,452.8375,,,
2,Ryan Ellis,456.1500,,452.1875,,,
7,Josh Bilicki,466.3125,,467.7125,,,
1,Carson Kvapil,468.9125,,453.1875,,,
2,Jesse Love,469.2375,,464.4625,,,
4,Caesar Bacarella,467.1875,,451.0625,,,
5,Luke Fenhaus,458.0250,,467.0750,,,
7,Justin Allgaier,468.8625,,459.1625,,,
8,Sammy Smith,462.7875,,468.3125,,,
17,Corey Day,457.9875,,458.8375,,,
18,William Sawalich,464.7875,,451.8500,,,
19,Giovanni Ruggiero,466.0125,,451.3000,,,
20,Brandon Jones,461.8625,,464.0875,,,
21,Austin Hill,456.8625,,457.4625,,,
24,Harrison Burton,453.0750,,465.4625,,,
25,Nick Sanchez,468.8250,,467.3125,,,
26,Dean Thompson,452.0250,,458.7375,,,
27,Jeb Burton,459.3750,,462.4375,,,
28,Kyle Sieg,452.0875,,469.6625,,,
30,Carson Ware,461.8750,,461.9250,,,
31,Blaine Perkins,467.1750,,465.7750,,,
32,Jordan Anderson,460.0250,,462.9750,,,
35,Natalie Decker,458.4250,,463.3100,,,
38,Patrick Emerling,460.3875,,459.3125,,,
39,Ryan Sieg,457.0125,,457.3375,,,
41,Sam Mayer,451.3750,,468.0625,,,
42,Carson Hocevar,469.7125,,468.5250,,,
44,Brennan Poole,453.3750,,458.6375,,,
45,Lavar Scott,462.9500,,463.9875,,,
48,Patrick Staropoli,468.5375,,457.9625,,,
51,Jeremy Clements,469.1875,,468.7250,,,
52,Daniel Dye,464.4000,,464.2625,,,
53,David Starr,461.4750,,463.0875,,,
54,Taylor Gray,464.7000,,464.6500,,,
55,Joey Gase,467.7375,,463.7000,,,
87,Austin Green,465.7250,,453.2625,,,
88,Rajah Caruth,466.3375,,451.7500,,,
91,Mason Maggio,463.0625,,461.3750,,,
92,Josh Williams,463.3750,,462.8375,,,
96,Anthony Alfredo,453.0250,,456.0375,,,
99,Parker Retzlaff,460.1000,,465.5375,,,
