Car,Driver,Primary,Tone,Secondary,Tone,Other,Tone
NASCAR,Race Control,461.2,432,,,,
NASCAR,Race Control,464.6,631,,,,
NASCAR,OPS,451.9,445,,,,
NASCAR,OPS,456.875,411,,,,
NASCAR,OPS Nascar 8,461.7,423,,,,
NASCAR,OPS,451.65,114,,,,
NASCAR,OPS Parking,456.925,114,,,,
NASCAR,OPS Infield EMS,452.4,411,,,,
NASCAR,OPS Track,452.625,731,,,,
NASCAR,OPS Nascar 11,464.775,423,,,,
NASCAR,OPS,451.975,516,,,,
NASCAR,OPS,451.875,411,,,,
NASCAR,OPS,452.8,245,,,,
NASCAR,OPS,451.925,47,,,,
NASCAR,OPS,451.775,172,,,,
NASCAR,OPS Nascar 2,452.075,23,,,,
NASCAR,NASCAR 5/15 Safety,451.225,,,,,
NASCAR,NASCAR 10,451.575,251,,,,
MRN,MRN Radio,454.200,454,,,,
PRN,PRN Radio,454,,450.8375,167.9,455.8375,167.9
FOX,FOX,450.2375,,450.3,,450.0375,
FOX,FOX Sports,450.1125,,,,,
