Car,Driver,Primary,Tone,Secondary,Tone,Other,Tone
00,Cole Custer,468.2875,,452.8375,,,
02,David Starr,459.6125,,457.2125,,,
07,Blaine Perkins,466.3125,,467.7125,,,
08,Gray Gaulding,463.6375,,463.7875,,,
1,Sam Mayer,453.1875,,468.9125,,,
2,Jesse Love,469.2375,,464.4625,,,
4,Dawson Cram,464.0125,,456.9625,,,
5,Anthony Alfredo,457.9625,,463.4250,,,
6,Brennan Poole,458.8125,,469.4125,,,
7,Justin Allgaier,468.8625,,459.1625,,,
8,Sammy Smith,462.7875,,468.3125,,,
9,Brandon Jones,457.8875,,464.1125,,,
10,Justin Haley,459.5750,,465.9625,,,
11,Josh Williams,466.1375,,459.7500,,,
13,Timmy Hill,461.5125,,452.9225,,,
16,AJ Allmendinger,468.0250,,465.3750,,,
19,Ryan Truex,466.0125,,451.3000,,,
20,John Nemechek,461.8625,,464.0875,,,
21,Austin Hill,456.8625,,457.4625,,,
24,Parker Chase,453.0750,,465.2625,,,
25,Brett Moffitt,464.4000,,464.2625,,,
26,Kaz Grala,451.6375,,451.4125,,,
27,Jeb Burton,459.3750,,462.4375,,,
28,Kyle Sieg,460.3750,,460.6375,,,
31,Parker Retzlaff,467.1750,,465.7750,,,
34,Jesse Iwuji,466.4375,,469.6125,,,
35,CJ McLaughlin,458.4250,,463.3100,,,
36,Alex Labbe,456.6250,,451.9375,,,
38,Ryan Sieg,460.3875,,460.6375,,,
39,Ryan Sieg,457.0125,,457.3375,,,
43,Ryan Ellis,467.1875,,451.0625,,,
44,Brennan Poole,453.3750,,458.6375,,,
45,Cesar Bacarella,459.9125,,462.9450,,,
48,Parker Kligerman,452.5125,,468.5375,,,
51,Jeremy Clements,469.1875,,468.7250,,,
53,Joey Gase,461.4750,,463.0875,,,
66,Dexter Stacy,458.5375,,467.6875,,,
74,Ryan Vargas,461.7500,,470.0000,,,
77,Ronnie Basset Jr.,460.8125,,461.7125,,,
78,Anthony Alfredo,467.5875,,466.3650,,,
78,Josh Williams,467.5875,,466.3650,,,
81,Chandler Smith,464.7875,,451.8500,,,
90,Alex Labbe,465.3875,,465.2250,,,
91,Josh Bilicki,463.3750,,462.8375,,,
91,Kyle Weatherman,463.3750,,462.8375,,,
92,Josh Williams,463.0625,,461.3750,,,
92,Kyle Weatherman,463.0625,,461.3750,,,
97,Shane Van Gisbergen,,,,,,
98,Riley Herbst,465.5375,,451.3750,,,
99,Garrett Smithley,467.9375,,457.5125,,,
99,Stefan Parson,467.9375,,457.5125,,,
